START_DATE,VALUE
15-Dec-17,32.00999832
15-Dec-17,30.93000031
15-Dec-17,29
15-Dec-17,28.96999931
15-Dec-17,29.56999969
15-Dec-17,33.16999817
15-Dec-17,46.95000076
15-Dec-17,57.16999817
15-Dec-17,54.31000137
15-Dec-17,53.93000031
15-Dec-17,52.09000015
15-Dec-17,52.50999832
15-Dec-17,48.49000168
15-Dec-17,47.91999817
15-Dec-17,48.93000031
15-Dec-17,52.93999863
15-Dec-17,60.91999817
15-Dec-17,74.54000092
15-Dec-17,59.31999969
15-Dec-17,53.90999985
15-Dec-17,50.13000107
15-Dec-17,42.22999954
15-Dec-17,37.04000092
15-Dec-17,33.22999954
16-Dec-17,35.06999969
16-Dec-17,33.08000183
16-Dec-17,32.95999908
16-Dec-17,31.95999908
16-Dec-17,32
16-Dec-17,31.76000023
16-Dec-17,31.57999992
16-Dec-17,31.38999939
16-Dec-17,34.00999832
16-Dec-17,41.56000137
16-Dec-17,44.34000015
16-Dec-17,44.02999878
16-Dec-17,41.68999863
16-Dec-17,38.09999847
16-Dec-17,36.47999954
16-Dec-17,40
16-Dec-17,46.16999817
16-Dec-17,48.93000031
16-Dec-17,46.90000153
16-Dec-17,42
16-Dec-17,39
16-Dec-17,33.61999893
16-Dec-17,33.00999832
16-Dec-17,29.02000046
17-Dec-17,29.45071858
17-Dec-17,26.87763214
17-Dec-17,25.88141155
17-Dec-17,24.96650965
17-Dec-17,24.3979694
17-Dec-17,22.05643963
17-Dec-17,20.43972957
17-Dec-17,22.89129859
17-Dec-17,28.29834856
17-Dec-17,30.73616268
17-Dec-17,31.69145959
17-Dec-17,34.78706321
17-Dec-17,33.81083771
17-Dec-17,32.00819659
17-Dec-17,32.50241275
17-Dec-17,34.55541085
17-Dec-17,43.04728429
17-Dec-17,49.67336399
17-Dec-17,51.93278138
17-Dec-17,51.21427057
17-Dec-17,46.71080134
17-Dec-17,42.35865816
17-Dec-17,44.595816
17-Dec-17,37.1154232
18-Dec-17,25.16659803
18-Dec-17,24.03096038
18-Dec-17,22.9226724
18-Dec-17,22.54282827
18-Dec-17,23.89990737
18-Dec-17,26.07686894
18-Dec-17,31.49314765
18-Dec-17,40.24408218
18-Dec-17,60.11286848
18-Dec-17,58.54301679
18-Dec-17,55.98990984
18-Dec-17,55.44305748
18-Dec-17,51.78491735
18-Dec-17,54.4633555
18-Dec-17,55.12351299
18-Dec-17,57.53807768
18-Dec-17,60.31005177
18-Dec-17,67.76806375
18-Dec-17,58.24085174
18-Dec-17,54.47095077
18-Dec-17,35.68074767
18-Dec-17,30.40049173
18-Dec-17,29.06031985
18-Dec-17,25.5560199
19-Dec-17,25.52913211
19-Dec-17,24.37189982
19-Dec-17,23.24339366
19-Dec-17,22.8289494
19-Dec-17,24.15649701
19-Dec-17,26.35613963
19-Dec-17,32.03753351
19-Dec-17,41.29672353
19-Dec-17,60.45051365
19-Dec-17,58.90792057
19-Dec-17,56.41442556
19-Dec-17,55.82832254
19-Dec-17,52.21223432
19-Dec-17,54.73765667
19-Dec-17,55.34519619
19-Dec-17,57.69107191
19-Dec-17,60.45025518
19-Dec-17,68.08552387
19-Dec-17,58.97793426
19-Dec-17,54.90220623
19-Dec-17,36.56472256
19-Dec-17,31.04957024
19-Dec-17,29.57119198
19-Dec-17,25.9236756
20-Dec-17,25.89166619
20-Dec-17,24.71283927
20-Dec-17,23.56411491
20-Dec-17,23.11507054
20-Dec-17,24.41308665
20-Dec-17,26.63541032
20-Dec-17,32.58191937
20-Dec-17,42.34936489
20-Dec-17,60.78815883
20-Dec-17,59.27282434
20-Dec-17,56.83894128
20-Dec-17,56.2135876
20-Dec-17,52.63955129
20-Dec-17,55.01195783
20-Dec-17,55.56687939
20-Dec-17,57.84406613
20-Dec-17,60.59045858
20-Dec-17,68.40298399
20-Dec-17,59.71501678
20-Dec-17,55.33346169
20-Dec-17,37.44869744
20-Dec-17,31.69864874
20-Dec-17,30.0820641
20-Dec-17,26.2913313
21-Dec-17,26.25420027
21-Dec-17,25.05377872
21-Dec-17,23.88483616
21-Dec-17,23.40119166
21-Dec-17,24.66967629
21-Dec-17,26.91468102
21-Dec-17,33.12630523
21-Dec-17,43.40200626
21-Dec-17,61.125804
21-Dec-17,59.63772811
21-Dec-17,57.26345699
21-Dec-17,56.59885267
21-Dec-17,53.06686826
21-Dec-17,55.28625899
21-Dec-17,55.78856258
21-Dec-17,57.99706036
21-Dec-17,60.73066199
21-Dec-17,68.72044411
21-Dec-17,60.45209931
21-Dec-17,55.76471714
21-Dec-17,38.33267233
21-Dec-17,32.34772725
21-Dec-17,30.59293624
21-Dec-17,26.658987
22-Dec-17,24.92312996
22-Dec-17,23.47096973
22-Dec-17,22.22337675
22-Dec-17,21.95567509
22-Dec-17,23.51717589
