v_mrf,4.47
10,SMPC522A1DC0040_SE-PGA454_20171012_082108.dat
category,startRow,nRows,type
environmentMetaData,13,2,emd
fileMetaData,15,2,fmd
systemMetaData,17,2,smd
vehicleInformationMetaData,19,2,vimd
visionMetaData,21,2,vmd
Pedestrian,23,219,Pedestrian
TwoWheeler,242,925,TwoWheeler
Unclassified3DMarking,1167,2721,Unclassified3DMarking
Vehicle,3888,2474,Vehicle
countryCode,gpsCoordinates,recordingLocation,recordingTime,ambientTemperature,countryStateCode,timeOfDayAuto,season,rightHandedTraffic
SE,,,2017-10-12T08:21:08.000Z,,,,,
sourceFile,backupLocation,damagedFiles,numberOfFrames,streamNames,labelSelectable,comments,purpose,oldPurpose,dataSet,TSAdataSet,LDdataset,LSRdataset,ODdataset,TLRdataset,splitStartSequenceName,unreadableFiles,relatedIssueNumber,tripId,pexVersion,naviReconstructed,LDdatabaseUseCase,ODdatabaseUseCase,HBAdatabaseUseCase,TSAdatabaseUseCase,sentStatusHella,sentDateHella,sentStatusVisage,sentDateVisage,distanceToTarget,egoSpeed,team,sequence
,,,,,,,,,KPI,,,,,,,,,,,,,,,,,,,,,,,
additionalSensors,leftCameraSensorType,rightCameraSensorType,savingMode,cameraID,cameraSensorTemperatureMin,cameraSensorTemperatureMean,cameraSensorTemperatureMax,softwareVersion,hardwareVersion,pitchAngleMin,pitchAngleMax,rollAngleMin,rollAngleMax,diskID,navigationSystem,cameraType,driverName,currentHorizon,calibratedHorizon,cameraAssembly,systemRelease,gpsType,navigationSystemVersion,bobFirmwareVersion,bobHardwareVersion,collectionComputerId,collectionToolVersion,dgpsAvailable,externalGpsAvailable,lidarAvailable,naviAvailable,radarAvailable,DGPSmodel
,,RGB,,SMPC522A1DC0040,,,,SMPC5_R0C_RC12(170961),,,,,,,,,stefan.halldin,,,,,,,,,,4.0.0,,,,,,
horizontalDrivenCurvatureMaxLeft,horizontalDrivenCurvatureMaxRight,horizontalDrivenCurvatureRadius,verticalDrivenCurvatureMin,sCurvature,verticalDrivenCurvatureMax,wipers,windshieldWasher,minVelocity,maxVelocity,meanVelocity,minYawRate,maxYawRate,meanYawRate,minAcceleration,maxAcceleration,meanAcceleration,vehicle,drivenDistance,highBeamOn,longitudinalAccelerationAverage,longitudinalAccelerationMin,longitudinalAccelerationMax,lateralAccelerationAverage,lateralAccelerationMin,lateralAccelerationMax,egoVehicleBeamType,egoVehicleWindshieldType,meanPitchRate,meanRollRate,vin,vehicleHeadlightID,vehicleHeadlinghtsType,vehicleWindshieldType,windshieldExtras,vehiclePlatform
,,,,,,,false,0,5.90000009536743,0.331097557959033,,,,,,,SE-PGA454,0.00276332684104698,false,,,,,,,,clear,,,,,,,,
roadUser,sky,timeOfDay,roadMaterial,roadCharacteristics,roadType,roadCover,surfaceQuality,castShadows,objects,glare,exposure,spray,precipitation,detailedPrecipitation,blockage,sight,sightValue,diffusion,destinationSet,interestingLane,interestingSign,roadCharacteristicsAutomatic,specialEvent,streetGlare,useCase,tailgatingVehicle,sunDirection,roadCategorySignType,streetLighting,bottsDots,egoVehicleWindshieldType,cameraPositionVertical,cameraPositionHorizontal,smoke,LSRroadType,trafficDensity
,partlyCloudy,day,,,city,,,,,,,,none,none,none,full,,,,,,,,,,,,,false,false,,,,,,
frameNumber,streamName,refId,objectType,height,direction,movement,occlusion,headOccluded,feetOccluded,overlapped,unsharp,strangePose,crossing,accessory,topLeftX,topLeftY,topRightX,topRightY,bottomRightX,bottomRightY,bottomLeftX,bottomLeftY,box3DGroundLength,box3DGroundWidth,box3DGroundCenterX,box3DGroundCenterXSigma,box3DGroundCenterY,box3DGroundCenterYSigma,box3DClosestPointX,box3DClosestPointY,box3DOrientationAngle,box3DOrientationAngleSigma,box3DHeight,box3DRelVelocityX,box3DRelVelocityXSigma,box3DRelVelocityY,box3DRelVelocityYSigma,box3DDataSource,box3DLidarInterpolationAge,box3DClassificationQuality,lidarDistanceX,lidarDistanceY,lidarVelocityX,lidarVelocityY,isInvalid,isStatic,ObjectId,Ibeo2MarkingsVersion,IdcOdExtractorVersion,clusterID,faceVisible,leftBorderVisibility,rightBorderVisibility
175,RggbLogarithmicMasterWindowA,28985,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.47494726469083,0.0697798659768755,5.62359348863353,0.0722691513500721,-1,-1,-1.14049262645966,0.0771902208559965,2,0.213981035437895,0.322263307323597,-1.41807198303011,0.322032183182206,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,28985,,,
175,RggbLogarithmicMasterWindowA,28994,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.47494726469083,0.0697798659768755,5.62359348863353,0.0722691513500721,-1,-1,-1.14049262645966,0.0771902208559965,2,0.213981035437895,0.322263307323597,-1.41807198303011,0.322032183182206,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,28994,,,
176,RggbLogarithmicMasterWindowA,28994,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.48467320652559,0.0612630566453388,5.55911605249177,0.0638794674139603,-1,-1,-1.1404927237703,0.0763890525441046,2,0.214609416331152,0.29771587835194,-1.42019590491379,0.297728090959839,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,28994,,,
176,RggbLogarithmicMasterWindowA,29002,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.48467320652559,0.0612630566453388,5.55911605249177,0.0638794674139603,-1,-1,-1.1404927237703,0.0763890525441046,2,0.214609416331152,0.29771587835194,-1.42019590491379,0.297728090959839,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,29002,,,
177,RggbLogarithmicMasterWindowA,29002,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.4944655617398,0.0545563424043445,5.49447491078033,0.0572160233069359,-1,-1,-1.1404945641549,0.0755975402618613,2,0.216231993349416,0.274032702434005,-1.42429631249711,0.274539013163826,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,29002,,,
177,RggbLogarithmicMasterWindowA,29010,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.4944655617398,0.0545563424043445,5.49447491078033,0.0572160233069359,-1,-1,-1.1404945641549,0.0755975402618613,2,0.216231993349416,0.274032702434005,-1.42429631249711,0.274539013163826,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,29010,,,
178,RggbLogarithmicMasterWindowA,29010,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.50432066332688,0.0496297938144462,5.42967232614789,0.0522108206451513,-1,-1,-1.14054768249403,0.0748215703558243,2,0.217853918812484,0.252198947994162,-1.42795041994863,0.253319858818955,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,29010,,,
178,RggbLogarithmicMasterWindowA,29018,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.50432066332688,0.0496297938144462,5.42967232614789,0.0522108206451513,-1,-1,-1.14054768249403,0.0748215703558243,2,0.217853918812484,0.252198947994162,-1.42795041994863,0.253319858818955,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,29018,,,
179,RggbLogarithmicMasterWindowA,29027,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.51430285066375,0.0464615781169043,5.36459500742669,0.0488189710243599,-1,-1,-1.14061865642114,0.074064149517845,2,0.22085561153732,0.233198744842563,-1.43470842142751,0.234966928186831,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,29027,,,
179,RggbLogarithmicMasterWindowA,29036,pedestrian,,NN,still,none,,,false,false,false,,,,,,,,,,,0.400856852531433,0.245117053389549,6.51430285066375,0.0464615781169043,5.36459500742669,0.0488189710243599,-1,-1,-1.14061865642114,0.074064149517845,2,0.22085561153732,0.233198744842563,-1.43470842142751,0.234966928186831,ibeoLUX,0,64,,,,,,true,1683,V.1.1.0.1,V.1.0.1,29036,,,
